Start Time, Thu Jan 1 00:00:00 GMT+0000 2009,,
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s),172800,,
Real Time (s),172808.1813,,
Elapsed Computational,0,,
Spectrum,,,
Channel, Energy (keV), Counts,
1123,1123,106,
1124,1124,97,
1125,1125,83,
1126,1126,115,
1127,1127,105,
1128,1128,112,
1129,1129,104,
1130,1130,92,
1131,1131,91,
1132,1132,104,
1133,1133,127,
1134,1134,115,
1135,1135,103,
1136,1136,112,
1137,1137,110,
1138,1138,75,
1139,1139,108,
1140,1140,106,
1141,1141,113,
1142,1142,99,
1143,1143,91,
1144,1144,96,
1145,1145,102,
1146,1146,105,
1147,1147,85,
1148,1148,97,
1149,1149,102,
1150,1150,121,
1151,1151,101,
1152,1152,130,
1153,1153,124,
1154,1154,118,
1155,1155,107,
1156,1156,104,
1157,1157,125,
1158,1158,107,
1159,1159,120,
1160,1160,111,
1161,1161,104,
1162,1162,119,
1163,1163,108,
1164,1164,126,
1165,1165,110,
1166,1166,122,
1167,1167,93,
1168,1168,98,
1169,1169,113,
1170,1170,116,
1171,1171,137,
1172,1172,97,
1173,1173,112,
1174,1174,98,
1175,1175,111,
1176,1176,102,
1177,1177,103,
1178,1178,117,
1179,1179,123,
1180,1180,115,
1181,1181,98,
1182,1182,120,
1183,1183,120,
1184,1184,109,
1185,1185,105,
1186,1186,101,
1187,1187,111,
1188,1188,96,
1189,1189,110,
1190,1190,98,
1191,1191,123,
1192,1192,106,
1193,1193,110,
1194,1194,121,
1195,1195,116,
1196,1196,93,
1197,1197,90,
1198,1198,123,
1199,1199,109,
1200,1200,87,
1201,1201,91,
1202,1202,109,
1203,1203,88,
1204,1204,87,
1205,1205,114,
1206,1206,91,
1207,1207,114,
1208,1208,103,
1209,1209,87,
1210,1210,110,
1211,1211,86,
1212,1212,93,
1213,1213,92,
1214,1214,88,
1215,1215,96,
1216,1216,101,
1217,1217,87,
1218,1218,86,
1219,1219,79,
1220,1220,101,
1221,1221,97,
1222,1222,102,
1223,1223,77,
1224,1224,79,
1225,1225,84,
1226,1226,91,
1227,1227,96,
1228,1228,86,
1229,1229,88,
1230,1230,71,
1231,1231,78,
1232,1232,77,
1233,1233,80,
1234,1234,89,
1235,1235,68,
1236,1236,87,
1237,1237,100,
1238,1238,68,
1239,1239,77,
1240,1240,87,
1241,1241,92,
1242,1242,96,
1243,1243,97,
1244,1244,82,
1245,1245,85,
1246,1246,94,
1247,1247,102,
1248,1248,82,
1249,1249,90,
1250,1250,79,
1251,1251,89,
1252,1252,78,
1253,1253,81,
1254,1254,74,
1255,1255,87,
1256,1256,104,
1257,1257,97,
1258,1258,78,
1259,1259,94,
1260,1260,81,
1261,1261,74,
1262,1262,84,
1263,1263,76,
1264,1264,67,
1265,1265,78,
1266,1266,92,
1267,1267,77,
1268,1268,87,
1269,1269,85,
1270,1270,83,
1271,1271,82,
1272,1272,95,
1273,1273,80,
1274,1274,95,
1275,1275,93,
1276,1276,96,
1277,1277,76,
1278,1278,83,
1279,1279,78,
1280,1280,89,
1281,1281,63,
1282,1282,77,
1283,1283,70,
1284,1284,93,
1285,1285,84,
1286,1286,79,
1287,1287,77,
1288,1288,76,
1289,1289,67,
1290,1290,76,
1291,1291,83,
1292,1292,79,
1293,1293,76,
1294,1294,98,
1295,1295,74,
1296,1296,62,
1297,1297,91,
1298,1298,77,
1299,1299,92,
1300,1300,90,
1301,1301,80,
1302,1302,74,
1303,1303,87,
1304,1304,87,
1305,1305,66,
1306,1306,91,
1307,1307,77,
1308,1308,75,
1309,1309,81,
1310,1310,76,
1311,1311,70,
1312,1312,72,
1313,1313,80,
1314,1314,65,
1315,1315,74,
1316,1316,67,
1317,1317,74,
1318,1318,66,
1319,1319,78,
1320,1320,58,
1321,1321,80,
1322,1322,64,
1323,1323,86,
1324,1324,78,
1325,1325,79,
1326,1326,81,
1327,1327,64,
1328,1328,72,
1329,1329,79,
1330,1330,68,
1331,1331,84,
1332,1332,80,
1333,1333,65,
1334,1334,86,
1335,1335,73,
1336,1336,75,
